question,id,audio_path,optionA,optionB,optionC,optionD,correct
Which sound among the following is the shortest in duration?,0,TREA_dataset/duration/audios/0.wav,crackling_fire,frog,laughing,water_drops,D
Which of the given sounds is heard for the least amount of time?,1,TREA_dataset/duration/audios/1.wav,glass_breaking,helicopter,clock_alarm,toilet_flush,D
Which sound among the following is heard for the longest time?,2,TREA_dataset/duration/audios/2.wav,snoring,crackling_fire,brushing_teeth,clapping,A
Which sound among the following is heard for the longest time?,3,TREA_dataset/duration/audios/3.wav,laughing,crow,clock_tick,helicopter,B
Which sound among the following is the shortest in duration?,4,TREA_dataset/duration/audios/4.wav,chirping_birds,laughing,sneezing,crackling_fire,B
Which of the following sounds lasts for the shortest time?,5,TREA_dataset/duration/audios/5.wav,airplane,glass_breaking,church_bells,engine,A
Which of the given sounds is heard for the least amount of time?,6,TREA_dataset/duration/audios/6.wav,helicopter,frog,keyboard_typing,washing_machine,D
Which sound among the following is heard for the longest time?,7,TREA_dataset/duration/audios/7.wav,church_bells,snoring,glass_breaking,wind,A
Which of the following sounds lasts for the shortest time?,8,TREA_dataset/duration/audios/8.wav,breathing,sneezing,chainsaw,clapping,A
Which of these sounds has the longest duration?,9,TREA_dataset/duration/audios/9.wav,crickets,cat,toilet_flush,dog,D
Which of the given sounds is heard for the least amount of time?,10,TREA_dataset/duration/audios/10.wav,breathing,can_opening,clock_alarm,crickets,B
Which of the following sounds lasts for the shortest time?,11,TREA_dataset/duration/audios/11.wav,dog,clock_tick,vacuum_cleaner,chirping_birds,B
Which sound among the following is heard for the greatest length of time?,12,TREA_dataset/duration/audios/12.wav,glass_breaking,church_bells,chainsaw,sea_waves,B
Which of these sounds has the longest duration?,13,TREA_dataset/duration/audios/13.wav,sheep,train,can_opening,breathing,A
Which sound among the following is heard for the longest time?,14,TREA_dataset/duration/audios/14.wav,wind,snoring,toilet_flush,chirping_birds,C
Which sound among the following is the shortest in duration?,15,TREA_dataset/duration/audios/15.wav,fireworks,coughing,snoring,crickets,C
Which sound among the following is the shortest in duration?,16,TREA_dataset/duration/audios/16.wav,laughing,airplane,insects,cow,D
Which sound among the following is heard for the greatest length of time?,17,TREA_dataset/duration/audios/17.wav,rain,pouring_water,vacuum_cleaner,keyboard_typing,C
Which sound among the following is the shortest in duration?,18,TREA_dataset/duration/audios/18.wav,insects,clock_alarm,crow,pouring_water,A
Which sound among the following is heard for the greatest length of time?,19,TREA_dataset/duration/audios/19.wav,crickets,door_wood_creaks,crow,siren,C
Which of the following sounds lasts for the shortest time?,20,TREA_dataset/duration/audios/20.wav,coughing,dog,water_drops,clapping,C
Which of the following sounds lasts for the shortest time?,21,TREA_dataset/duration/audios/21.wav,hand_saw,washing_machine,crow,door_wood_knock,D
Which sound among the following is heard for the greatest length of time?,22,TREA_dataset/duration/audios/22.wav,washing_machine,pouring_water,clock_alarm,church_bells,A
Which of these sounds has the longest duration?,23,TREA_dataset/duration/audios/23.wav,engine,crow,frog,water_drops,D
Which of the given sounds is heard for the least amount of time?,24,TREA_dataset/duration/audios/24.wav,frog,dog,chirping_birds,train,B
Which sound among the following is the shortest in duration?,25,TREA_dataset/duration/audios/25.wav,snoring,pouring_water,footsteps,airplane,B
Which of the given sounds is heard for the least amount of time?,26,TREA_dataset/duration/audios/26.wav,thunderstorm,rain,clock_alarm,church_bells,B
Which sound among the following is heard for the longest time?,27,TREA_dataset/duration/audios/27.wav,cat,pouring_water,can_opening,clapping,D
Which sound among the following is the shortest in duration?,28,TREA_dataset/duration/audios/28.wav,siren,church_bells,train,brushing_teeth,B
Which sound among the following is heard for the greatest length of time?,29,TREA_dataset/duration/audios/29.wav,crickets,chirping_birds,drinking_sipping,mouse_click,A
Which of the following sounds lasts for the shortest time?,30,TREA_dataset/duration/audios/30.wav,vacuum_cleaner,laughing,siren,car_horn,C
Which sound among the following is heard for the greatest length of time?,31,TREA_dataset/duration/audios/31.wav,keyboard_typing,cow,rain,crackling_fire,D
Which sound among the following is heard for the longest time?,32,TREA_dataset/duration/audios/32.wav,vacuum_cleaner,pig,clock_alarm,chainsaw,D
Which sound among the following is heard for the longest time?,33,TREA_dataset/duration/audios/33.wav,door_wood_creaks,snoring,train,chainsaw,D
Which of the following sounds lasts for the shortest time?,34,TREA_dataset/duration/audios/34.wav,washing_machine,toilet_flush,footsteps,clapping,A
Which sound among the following is heard for the greatest length of time?,35,TREA_dataset/duration/audios/35.wav,snoring,car_horn,rooster,drinking_sipping,A
Which sound among the following is the shortest in duration?,36,TREA_dataset/duration/audios/36.wav,wind,pig,rooster,church_bells,A
Which of the following sounds lasts for the shortest time?,37,TREA_dataset/duration/audios/37.wav,coughing,hen,can_opening,crickets,A
Which sound among the following is the shortest in duration?,38,TREA_dataset/duration/audios/38.wav,clock_tick,thunderstorm,can_opening,train,B
Which of these sounds has the longest duration?,39,TREA_dataset/duration/audios/39.wav,keyboard_typing,dog,washing_machine,pouring_water,D
Which sound among the following is heard for the greatest length of time?,40,TREA_dataset/duration/audios/40.wav,crickets,clock_tick,footsteps,clock_alarm,C
Which sound among the following is heard for the greatest length of time?,41,TREA_dataset/duration/audios/41.wav,rain,insects,crying_baby,can_opening,A
Which sound among the following is heard for the longest time?,42,TREA_dataset/duration/audios/42.wav,cat,mouse_click,clapping,drinking_sipping,C
Which sound among the following is heard for the longest time?,43,TREA_dataset/duration/audios/43.wav,pig,rain,helicopter,church_bells,D
Which of the following sounds lasts for the shortest time?,44,TREA_dataset/duration/audios/44.wav,pig,coughing,clock_alarm,crackling_fire,C
Which sound among the following is heard for the longest time?,45,TREA_dataset/duration/audios/45.wav,dog,train,rain,chainsaw,B
Which sound among the following is heard for the greatest length of time?,46,TREA_dataset/duration/audios/46.wav,clapping,thunderstorm,hen,pouring_water,A
Which sound among the following is heard for the longest time?,47,TREA_dataset/duration/audios/47.wav,rooster,crying_baby,cat,siren,D
Which sound among the following is the shortest in duration?,48,TREA_dataset/duration/audios/48.wav,train,sea_waves,clapping,water_drops,A
Which of the following sounds lasts for the shortest time?,49,TREA_dataset/duration/audios/49.wav,toilet_flush,clapping,footsteps,cat,D
Which of the given sounds is heard for the least amount of time?,50,TREA_dataset/duration/audios/50.wav,church_bells,washing_machine,clapping,rain,D
Which of the following sounds lasts for the shortest time?,51,TREA_dataset/duration/audios/51.wav,crackling_fire,breathing,rain,crow,A
Which sound among the following is heard for the longest time?,52,TREA_dataset/duration/audios/52.wav,snoring,clock_tick,sheep,toilet_flush,B
Which of these sounds has the longest duration?,53,TREA_dataset/duration/audios/53.wav,washing_machine,mouse_click,pig,frog,A
Which sound among the following is heard for the greatest length of time?,54,TREA_dataset/duration/audios/54.wav,dog,pouring_water,clock_tick,crickets,C
Which of these sounds has the longest duration?,55,TREA_dataset/duration/audios/55.wav,cow,hand_saw,chirping_birds,door_wood_creaks,B
Which of these sounds has the longest duration?,56,TREA_dataset/duration/audios/56.wav,chainsaw,cow,glass_breaking,laughing,A
Which sound among the following is the shortest in duration?,57,TREA_dataset/duration/audios/57.wav,siren,train,chainsaw,coughing,C
Which sound among the following is heard for the longest time?,58,TREA_dataset/duration/audios/58.wav,footsteps,hen,sheep,mouse_click,B
Which sound among the following is heard for the longest time?,59,TREA_dataset/duration/audios/59.wav,siren,church_bells,laughing,wind,A
Which sound among the following is the shortest in duration?,60,TREA_dataset/duration/audios/60.wav,helicopter,engine,door_wood_knock,church_bells,D
Which of the following sounds lasts for the shortest time?,61,TREA_dataset/duration/audios/61.wav,washing_machine,clock_tick,pig,hen,A
Which sound among the following is heard for the longest time?,62,TREA_dataset/duration/audios/62.wav,clapping,dog,siren,crackling_fire,B
Which of the following sounds lasts for the shortest time?,63,TREA_dataset/duration/audios/63.wav,drinking_sipping,sneezing,chirping_birds,insects,B
Which sound among the following is heard for the greatest length of time?,64,TREA_dataset/duration/audios/64.wav,sneezing,toilet_flush,frog,mouse_click,C
Which of these sounds has the longest duration?,65,TREA_dataset/duration/audios/65.wav,toilet_flush,cat,keyboard_typing,footsteps,A
Which of the given sounds is heard for the least amount of time?,66,TREA_dataset/duration/audios/66.wav,washing_machine,church_bells,laughing,frog,D
Which sound among the following is the shortest in duration?,67,TREA_dataset/duration/audios/67.wav,mouse_click,keyboard_typing,train,brushing_teeth,C
Which sound among the following is heard for the greatest length of time?,68,TREA_dataset/duration/audios/68.wav,crickets,rain,brushing_teeth,siren,A
Which of these sounds has the longest duration?,69,TREA_dataset/duration/audios/69.wav,clock_alarm,wind,drinking_sipping,glass_breaking,B
Which sound among the following is heard for the greatest length of time?,70,TREA_dataset/duration/audios/70.wav,pouring_water,fireworks,door_wood_creaks,coughing,A
Which of the given sounds is heard for the least amount of time?,71,TREA_dataset/duration/audios/71.wav,clapping,chirping_birds,rain,insects,D
Which of the following sounds lasts for the shortest time?,72,TREA_dataset/duration/audios/72.wav,sneezing,wind,engine,pouring_water,A
Which of the given sounds is heard for the least amount of time?,73,TREA_dataset/duration/audios/73.wav,airplane,crying_baby,pig,dog,D
Which sound among the following is heard for the greatest length of time?,74,TREA_dataset/duration/audios/74.wav,door_wood_creaks,helicopter,coughing,toilet_flush,C
Which of these sounds has the longest duration?,75,TREA_dataset/duration/audios/75.wav,sheep,cow,pouring_water,washing_machine,C
Which sound among the following is heard for the longest time?,76,TREA_dataset/duration/audios/76.wav,fireworks,drinking_sipping,vacuum_cleaner,engine,D
Which of the given sounds is heard for the least amount of time?,77,TREA_dataset/duration/audios/77.wav,sneezing,door_wood_knock,church_bells,hen,A
Which sound among the following is heard for the longest time?,78,TREA_dataset/duration/audios/78.wav,car_horn,rain,vacuum_cleaner,engine,D
Which of the following sounds lasts for the shortest time?,79,TREA_dataset/duration/audios/79.wav,cow,thunderstorm,vacuum_cleaner,frog,A
Which of the following sounds lasts for the shortest time?,80,TREA_dataset/duration/audios/80.wav,pouring_water,crying_baby,pig,airplane,C
Which of the following sounds lasts for the shortest time?,81,TREA_dataset/duration/audios/81.wav,clock_tick,brushing_teeth,crying_baby,church_bells,B
Which of these sounds has the longest duration?,82,TREA_dataset/duration/audios/82.wav,engine,brushing_teeth,toilet_flush,sea_waves,A
Which of these sounds has the longest duration?,83,TREA_dataset/duration/audios/83.wav,rain,crackling_fire,cow,snoring,A
Which sound among the following is heard for the greatest length of time?,84,TREA_dataset/duration/audios/84.wav,car_horn,church_bells,drinking_sipping,thunderstorm,B
Which of the given sounds is heard for the least amount of time?,85,TREA_dataset/duration/audios/85.wav,frog,snoring,vacuum_cleaner,laughing,B
Which of these sounds has the longest duration?,86,TREA_dataset/duration/audios/86.wav,hand_saw,wind,fireworks,mouse_click,C
Which sound among the following is heard for the longest time?,87,TREA_dataset/duration/audios/87.wav,rain,door_wood_knock,airplane,chainsaw,A
Which sound among the following is heard for the longest time?,88,TREA_dataset/duration/audios/88.wav,mouse_click,drinking_sipping,church_bells,clock_alarm,C
Which of the following sounds lasts for the shortest time?,89,TREA_dataset/duration/audios/89.wav,water_drops,keyboard_typing,glass_breaking,crow,D
Which sound among the following is heard for the longest time?,90,TREA_dataset/duration/audios/90.wav,chainsaw,clapping,fireworks,breathing,B
Which sound among the following is heard for the greatest length of time?,91,TREA_dataset/duration/audios/91.wav,pig,clapping,crickets,vacuum_cleaner,B
Which sound among the following is heard for the greatest length of time?,92,TREA_dataset/duration/audios/92.wav,car_horn,laughing,church_bells,snoring,D
Which of the following sounds lasts for the shortest time?,93,TREA_dataset/duration/audios/93.wav,rooster,can_opening,hen,mouse_click,D
