id,question,audio_path,optionA,optionB,optionC,optionD,correct,source_wavs,source_categories
0,Which sound event occurs after rooster sound?,TREA_dataset/order/audios/0.wav,"Door, wood creaks",Mouse click,airplane,Fireworks,C,"['ESC-50-master/audio/2-99955-C-7.wav', 'ESC-50-master/audio/2-95258-B-1.wav', 'ESC-50-master/audio/2-105270-A-47.wav', 'ESC-50-master/audio/1-67152-A-17.wav']","['insects', 'rooster', 'airplane', 'pouring_water']"
1,Which sound event occurs first?,TREA_dataset/order/audios/1.wav,"Drinking, sipping",Keyboard typing,Rooster,airplane,D,"['ESC-50-master/audio/4-161103-A-47.wav', 'ESC-50-master/audio/1-43764-A-34.wav', 'ESC-50-master/audio/1-34094-B-5.wav', 'ESC-50-master/audio/1-72195-B-37.wav']","['airplane', 'can_opening', 'cat', 'clock_alarm']"
2,Which sound event occurs second?,TREA_dataset/order/audios/2.wav,Laughing,Brushing teeth,Crow,keyboard_typing,D,"['ESC-50-master/audio/5-243459-B-14.wav', 'ESC-50-master/audio/1-53501-A-32.wav']","['chirping_birds', 'keyboard_typing']"
3,Which sound event occurs first?,TREA_dataset/order/audios/3.wav,Clapping,Sea waves,crackling_fire,"Door, wood creaks",C,"['ESC-50-master/audio/5-189237-A-12.wav', 'ESC-50-master/audio/4-165791-B-45.wav', 'ESC-50-master/audio/2-77945-A-41.wav', 'ESC-50-master/audio/4-186940-A-44.wav']","['crackling_fire', 'train', 'chainsaw', 'engine']"
4,Which sound event occurs second?,TREA_dataset/order/audios/4.wav,dog,Chainsaw,Toilet flush,Crying baby,A,"['ESC-50-master/audio/4-181628-A-17.wav', 'ESC-50-master/audio/3-170015-A-0.wav', 'ESC-50-master/audio/3-119120-B-48.wav', 'ESC-50-master/audio/2-117625-A-10.wav']","['pouring_water', 'dog', 'fireworks', 'rain']"
5,Which sound event occurs second?,TREA_dataset/order/audios/5.wav,sneezing,Can opening,Cow,Glass breaking,A,"['ESC-50-master/audio/1-25777-A-48.wav', 'ESC-50-master/audio/1-54505-A-21.wav']","['fireworks', 'sneezing']"
6,Which sound event occurs second?,TREA_dataset/order/audios/6.wav,Clock alarm,clapping,Cow,Crickets,B,"['ESC-50-master/audio/3-164216-A-6.wav', 'ESC-50-master/audio/1-105224-A-22.wav', 'ESC-50-master/audio/4-191327-A-38.wav']","['hen', 'clapping', 'clock_tick']"
7,Which sound event occurs first?,TREA_dataset/order/audios/7.wav,"Drinking, sipping",insects,"Door, wood creaks",Breathing,B,"['ESC-50-master/audio/3-105235-A-7.wav', 'ESC-50-master/audio/5-251489-A-24.wav', 'ESC-50-master/audio/3-95698-A-5.wav', 'ESC-50-master/audio/5-223810-A-35.wav']","['insects', 'coughing', 'cat', 'washing_machine']"
8,Which sound event occurs second?,TREA_dataset/order/audios/8.wav,frog,Chainsaw,Vacuum cleaner,Siren,A,"['ESC-50-master/audio/1-54065-B-45.wav', 'ESC-50-master/audio/2-52085-B-4.wav']","['train', 'frog']"
9,Which sound event occurs third?,TREA_dataset/order/audios/9.wav,Keyboard typing,hen,Clapping,Church bells,B,"['ESC-50-master/audio/4-120160-A-5.wav', 'ESC-50-master/audio/3-155578-A-14.wav', 'ESC-50-master/audio/4-234879-A-6.wav']","['cat', 'chirping_birds', 'hen']"
10,Which sound event occurs fourth?,TREA_dataset/order/audios/10.wav,Chirping birds,crickets,Pig,Snoring,B,"['ESC-50-master/audio/3-112557-A-23.wav', 'ESC-50-master/audio/1-50060-A-10.wav', 'ESC-50-master/audio/5-254160-A-22.wav', 'ESC-50-master/audio/2-125821-A-13.wav']","['breathing', 'rain', 'clapping', 'crickets']"
11,Which sound event occurs third?,TREA_dataset/order/audios/11.wav,Airplane,Church bells,Crying baby,rain,D,"['ESC-50-master/audio/4-125825-A-46.wav', 'ESC-50-master/audio/3-160119-A-15.wav', 'ESC-50-master/audio/5-194892-A-10.wav', 'ESC-50-master/audio/2-92978-A-29.wav']","['church_bells', 'water_drops', 'rain', 'drinking_sipping']"
12,Which sound event occurs first?,TREA_dataset/order/audios/12.wav,crying_baby,Snoring,Church bells,Frog,A,"['ESC-50-master/audio/1-211527-B-20.wav', 'ESC-50-master/audio/3-96606-A-49.wav', 'ESC-50-master/audio/4-174860-B-3.wav', 'ESC-50-master/audio/3-155578-A-14.wav']","['crying_baby', 'hand_saw', 'cow', 'chirping_birds']"
13,Which sound event occurs after crickets sound?,TREA_dataset/order/audios/13.wav,Insects (flying),vacuum_cleaner,Footsteps,Glass breaking,B,"['ESC-50-master/audio/3-155766-A-13.wav', 'ESC-50-master/audio/2-141681-B-36.wav']","['crickets', 'vacuum_cleaner']"
14,Which sound event occurs after mouse_click sound?,TREA_dataset/order/audios/14.wav,footsteps,Train,Insects (flying),Glass breaking,A,"['ESC-50-master/audio/2-138257-A-31.wav', 'ESC-50-master/audio/3-103597-A-25.wav', 'ESC-50-master/audio/2-50667-A-41.wav', 'ESC-50-master/audio/2-94807-A-29.wav']","['mouse_click', 'footsteps', 'chainsaw', 'drinking_sipping']"
