id,audio_path,question,optionA,optionB,optionC,optionD,correct,ordering_method,audioabsent_optionspresent_num,audiopath_list,cat_mapping
0,TREA_dataset/duration/audios/0.wav,Which sound among the following is the shortest in duration?,crackling_fire,frog,laughing,water_drops,D,random,1,"['ESC-50-master/audio/2-32515-B-4.wav', 'ESC-50-master/audio/2-32515-B-4.wav', 'ESC-50-master/audio/2-61311-A-12.wav', 'ESC-50-master/audio/2-139748-B-15.wav', 'ESC-50-master/audio/2-61311-A-12.wav']","{'water_drops': 'ESC-50-master/audio/2-139748-B-15.wav', 'crackling_fire': 'ESC-50-master/audio/2-61311-A-12.wav', 'frog': 'ESC-50-master/audio/2-32515-B-4.wav'}"
1,TREA_dataset/duration/audios/1.wav,Which of the given sounds is heard for the least amount of time?,glass_breaking,helicopter,clock_alarm,toilet_flush,D,random,1,"['ESC-50-master/audio/1-181071-A-40.wav', 'ESC-50-master/audio/4-204777-A-39.wav', 'ESC-50-master/audio/4-126532-A-18.wav', 'ESC-50-master/audio/4-204777-A-39.wav', 'ESC-50-master/audio/1-181071-A-40.wav']","{'toilet_flush': 'ESC-50-master/audio/4-126532-A-18.wav', 'helicopter': 'ESC-50-master/audio/1-181071-A-40.wav', 'glass_breaking': 'ESC-50-master/audio/4-204777-A-39.wav'}"
2,TREA_dataset/duration/audios/2.wav,Which sound among the following is heard for the longest time?,snoring,crackling_fire,brushing_teeth,clapping,A,consec,3,"['ESC-50-master/audio/2-106487-A-44.wav', 'ESC-50-master/audio/3-130998-B-28.wav', 'ESC-50-master/audio/3-130998-B-28.wav', 'ESC-50-master/audio/3-130998-B-28.wav', 'ESC-50-master/audio/1-56234-A-9.wav']","{'engine': 'ESC-50-master/audio/2-106487-A-44.wav', 'snoring': 'ESC-50-master/audio/3-130998-B-28.wav', 'crow': 'ESC-50-master/audio/1-56234-A-9.wav'}"
3,TREA_dataset/duration/audios/3.wav,Which sound among the following is heard for the longest time?,laughing,crow,clock_tick,helicopter,B,random,1,"['ESC-50-master/audio/3-154926-B-40.wav', 'ESC-50-master/audio/1-75162-A-9.wav', 'ESC-50-master/audio/5-263775-A-26.wav', 'ESC-50-master/audio/1-75162-A-9.wav']","{'crow': 'ESC-50-master/audio/1-75162-A-9.wav', 'laughing': 'ESC-50-master/audio/5-263775-A-26.wav', 'helicopter': 'ESC-50-master/audio/3-154926-B-40.wav'}"
4,TREA_dataset/duration/audios/4.wav,Which sound among the following is the shortest in duration?,chirping_birds,laughing,sneezing,crackling_fire,B,random,2,"['ESC-50-master/audio/1-46040-A-14.wav', 'ESC-50-master/audio/2-96654-A-47.wav', 'ESC-50-master/audio/1-46040-A-14.wav', 'ESC-50-master/audio/2-109759-A-26.wav', 'ESC-50-master/audio/2-96654-A-47.wav']","{'laughing': 'ESC-50-master/audio/2-109759-A-26.wav', 'airplane': 'ESC-50-master/audio/2-96654-A-47.wav', 'chirping_birds': 'ESC-50-master/audio/1-46040-A-14.wav'}"
5,TREA_dataset/duration/audios/5.wav,Which of the following sounds lasts for the shortest time?,airplane,glass_breaking,church_bells,engine,A,consec,1,"['ESC-50-master/audio/4-161099-B-47.wav', 'ESC-50-master/audio/2-112213-A-39.wav', 'ESC-50-master/audio/2-112213-A-39.wav', 'ESC-50-master/audio/4-186936-A-44.wav', 'ESC-50-master/audio/4-186936-A-44.wav']","{'airplane': 'ESC-50-master/audio/4-161099-B-47.wav', 'glass_breaking': 'ESC-50-master/audio/2-112213-A-39.wav', 'engine': 'ESC-50-master/audio/4-186936-A-44.wav'}"
6,TREA_dataset/duration/audios/6.wav,Which of the given sounds is heard for the least amount of time?,helicopter,frog,keyboard_typing,washing_machine,D,consec,3,"['ESC-50-master/audio/2-59241-A-35.wav', 'ESC-50-master/audio/1-28005-A-18.wav', 'ESC-50-master/audio/1-28005-A-18.wav', 'ESC-50-master/audio/2-39945-A-19.wav', 'ESC-50-master/audio/2-39945-A-19.wav']","{'washing_machine': 'ESC-50-master/audio/2-59241-A-35.wav', 'toilet_flush': 'ESC-50-master/audio/1-28005-A-18.wav', 'thunderstorm': 'ESC-50-master/audio/2-39945-A-19.wav'}"
7,TREA_dataset/duration/audios/7.wav,Which sound among the following is heard for the longest time?,church_bells,snoring,glass_breaking,wind,A,random,3,"['ESC-50-master/audio/4-140034-A-46.wav', 'ESC-50-master/audio/5-213855-A-0.wav', 'ESC-50-master/audio/4-140034-A-46.wav', 'ESC-50-master/audio/5-198891-B-8.wav']","{'dog': 'ESC-50-master/audio/5-213855-A-0.wav', 'sheep': 'ESC-50-master/audio/5-198891-B-8.wav', 'church_bells': 'ESC-50-master/audio/4-140034-A-46.wav'}"
8,TREA_dataset/duration/audios/8.wav,Which of the following sounds lasts for the shortest time?,breathing,sneezing,chainsaw,clapping,A,consec,3,"['ESC-50-master/audio/4-174797-A-15.wav', 'ESC-50-master/audio/4-174797-A-15.wav', 'ESC-50-master/audio/4-166661-A-10.wav', 'ESC-50-master/audio/4-166661-A-10.wav', 'ESC-50-master/audio/1-36397-A-23.wav']","{'water_drops': 'ESC-50-master/audio/4-174797-A-15.wav', 'rain': 'ESC-50-master/audio/4-166661-A-10.wav', 'breathing': 'ESC-50-master/audio/1-36397-A-23.wav'}"
9,TREA_dataset/duration/audios/9.wav,Which of these sounds has the longest duration?,crickets,cat,toilet_flush,dog,D,random,1,"['ESC-50-master/audio/4-149940-B-5.wav', 'ESC-50-master/audio/4-119720-A-18.wav', 'ESC-50-master/audio/4-183992-A-0.wav', 'ESC-50-master/audio/4-183992-A-0.wav']","{'toilet_flush': 'ESC-50-master/audio/4-119720-A-18.wav', 'cat': 'ESC-50-master/audio/4-149940-B-5.wav', 'dog': 'ESC-50-master/audio/4-183992-A-0.wav'}"
