question,id,audio_path,optionA,optionB,optionC,optionD,correct,source_wavs,source_categories
What is the number of distinct sound sources in the audio file?,0,TREA_dataset/count/audios/0.wav,0,2,3,1,D,['ESC-50-master/audio/3-115387-B-47.wav'],['airplane']
How many different types of sounds can be identified in this recording?,1,TREA_dataset/count/audios/1.wav,3,0,1,2,C,"['ESC-50-master/audio/1-43807-D-47.wav', 'ESC-50-master/audio/1-43807-D-47.wav']","['airplane', 'airplane']"
How many unique types of sound are present in this audio?,2,TREA_dataset/count/audios/2.wav,2,3,0,1,D,['ESC-50-master/audio/2-82274-B-5.wav'],['cat']
Identify the count of different sound sources in this clip.,3,TREA_dataset/count/audios/3.wav,5,3,4,6,C,"['ESC-50-master/audio/2-61311-A-12.wav', 'ESC-50-master/audio/5-200334-A-1.wav', 'ESC-50-master/audio/4-218199-C-35.wav', 'ESC-50-master/audio/4-165845-B-45.wav', 'ESC-50-master/audio/2-61311-A-12.wav']","['crackling_fire', 'rooster', 'washing_machine', 'train', 'crackling_fire']"
What is the total number of unique sounds heard in this audio?,4,TREA_dataset/count/audios/4.wav,2,0,3,1,D,"['ESC-50-master/audio/3-162786-A-13.wav', 'ESC-50-master/audio/3-162786-A-13.wav', 'ESC-50-master/audio/3-162786-A-13.wav']","['crickets', 'crickets', 'crickets']"
How many distinct sound categories are there in this audio file?,5,TREA_dataset/count/audios/5.wav,2,3,0,1,D,['ESC-50-master/audio/5-254160-A-22.wav'],['clapping']
Determine the number of unique sound sources in this recording.,6,TREA_dataset/count/audios/6.wav,0,2,1,3,C,['ESC-50-master/audio/1-69165-A-34.wav'],['can_opening']
How many separate sound sources are included in the audio?,7,TREA_dataset/count/audios/7.wav,2,3,1,0,C,['ESC-50-master/audio/5-220955-A-40.wav'],['helicopter']
What is the total number of unique sound types in this audio?,8,TREA_dataset/count/audios/8.wav,2,1,3,4,A,"['ESC-50-master/audio/2-52085-B-4.wav', 'ESC-50-master/audio/1-54065-B-45.wav', 'ESC-50-master/audio/1-54065-B-45.wav', 'ESC-50-master/audio/1-54065-B-45.wav', 'ESC-50-master/audio/2-52085-B-4.wav']","['frog', 'train', 'train', 'train', 'frog']"
How many different sound sources can be heard in this clip?,9,TREA_dataset/count/audios/9.wav,1,4,2,3,C,"['ESC-50-master/audio/3-166125-B-23.wav', 'ESC-50-master/audio/2-188822-C-40.wav', 'ESC-50-master/audio/3-166125-B-23.wav']","['breathing', 'helicopter', 'breathing']"
What is the number of distinct sound sources in the audio file?,10,TREA_dataset/count/audios/10.wav,0,2,3,1,D,['ESC-50-master/audio/2-87282-A-34.wav'],['can_opening']
How many different types of sounds can be identified in this recording?,11,TREA_dataset/count/audios/11.wav,5,2,4,3,D,"['ESC-50-master/audio/2-102414-G-17.wav', 'ESC-50-master/audio/1-50454-A-44.wav', 'ESC-50-master/audio/2-51173-A-35.wav', 'ESC-50-master/audio/1-50454-A-44.wav']","['pouring_water', 'engine', 'washing_machine', 'engine']"
How many unique types of sound are present in this audio?,12,TREA_dataset/count/audios/12.wav,3,2,1,0,C,['ESC-50-master/audio/3-159346-B-36.wav'],['vacuum_cleaner']
Identify the count of different sound sources in this clip.,13,TREA_dataset/count/audios/13.wav,1,4,3,2,D,"['ESC-50-master/audio/5-213836-D-9.wav', 'ESC-50-master/audio/5-157204-B-16.wav', 'ESC-50-master/audio/5-157204-B-16.wav', 'ESC-50-master/audio/5-213836-D-9.wav']","['crow', 'wind', 'wind', 'crow']"
What is the total number of unique sounds heard in this audio?,14,TREA_dataset/count/audios/14.wav,1,2,3,0,A,"['ESC-50-master/audio/4-185613-A-32.wav', 'ESC-50-master/audio/4-185613-A-32.wav']","['keyboard_typing', 'keyboard_typing']"
How many distinct sound categories are there in this audio file?,15,TREA_dataset/count/audios/15.wav,3,1,0,2,B,['ESC-50-master/audio/2-188822-C-40.wav'],['helicopter']
Determine the number of unique sound sources in this recording.,16,TREA_dataset/count/audios/16.wav,2,3,0,1,D,"['ESC-50-master/audio/4-152995-A-24.wav', 'ESC-50-master/audio/4-152995-A-24.wav', 'ESC-50-master/audio/4-152995-A-24.wav', 'ESC-50-master/audio/4-152995-A-24.wav', 'ESC-50-master/audio/4-152995-A-24.wav']","['coughing', 'coughing', 'coughing', 'coughing', 'coughing']"
How many separate sound sources are included in the audio?,17,TREA_dataset/count/audios/17.wav,2,3,1,0,C,"['ESC-50-master/audio/4-126532-A-18.wav', 'ESC-50-master/audio/4-126532-A-18.wav', 'ESC-50-master/audio/4-126532-A-18.wav']","['toilet_flush', 'toilet_flush', 'toilet_flush']"
What is the total number of unique sound types in this audio?,18,TREA_dataset/count/audios/18.wav,4,1,3,2,D,"['ESC-50-master/audio/5-205090-A-32.wav', 'ESC-50-master/audio/1-25777-A-48.wav', 'ESC-50-master/audio/1-25777-A-48.wav']","['keyboard_typing', 'fireworks', 'fireworks']"
How many different sound sources can be heard in this clip?,19,TREA_dataset/count/audios/19.wav,1,2,0,3,A,"['ESC-50-master/audio/5-236299-A-34.wav', 'ESC-50-master/audio/5-236299-A-34.wav', 'ESC-50-master/audio/5-236299-A-34.wav']","['can_opening', 'can_opening', 'can_opening']"
What is the number of distinct sound sources in the audio file?,20,TREA_dataset/count/audios/20.wav,1,0,3,2,A,['ESC-50-master/audio/3-144128-A-23.wav'],['breathing']
How many different types of sounds can be identified in this recording?,21,TREA_dataset/count/audios/21.wav,1,3,0,2,A,['ESC-50-master/audio/1-46744-A-36.wav'],['vacuum_cleaner']
How many unique types of sound are present in this audio?,22,TREA_dataset/count/audios/22.wav,2,3,0,1,D,"['ESC-50-master/audio/5-160614-C-48.wav', 'ESC-50-master/audio/5-160614-C-48.wav', 'ESC-50-master/audio/5-160614-C-48.wav', 'ESC-50-master/audio/5-160614-C-48.wav']","['fireworks', 'fireworks', 'fireworks', 'fireworks']"
Identify the count of different sound sources in this clip.,23,TREA_dataset/count/audios/23.wav,1,4,2,3,C,"['ESC-50-master/audio/2-86160-A-27.wav', 'ESC-50-master/audio/3-146033-A-13.wav', 'ESC-50-master/audio/3-146033-A-13.wav']","['brushing_teeth', 'crickets', 'crickets']"
What is the total number of unique sounds heard in this audio?,24,TREA_dataset/count/audios/24.wav,1,2,3,4,B,"['ESC-50-master/audio/1-51805-H-33.wav', 'ESC-50-master/audio/1-51805-H-33.wav', 'ESC-50-master/audio/2-80313-A-28.wav']","['door_wood_creaks', 'door_wood_creaks', 'snoring']"
How many distinct sound categories are there in this audio file?,25,TREA_dataset/count/audios/25.wav,2,3,1,0,C,['ESC-50-master/audio/2-89516-A-37.wav'],['clock_alarm']
Determine the number of unique sound sources in this recording.,26,TREA_dataset/count/audios/26.wav,3,0,2,1,D,['ESC-50-master/audio/1-38560-A-14.wav'],['chirping_birds']
How many separate sound sources are included in the audio?,27,TREA_dataset/count/audios/27.wav,2,3,1,0,C,"['ESC-50-master/audio/2-99796-A-32.wav', 'ESC-50-master/audio/2-99796-A-32.wav', 'ESC-50-master/audio/2-99796-A-32.wav']","['keyboard_typing', 'keyboard_typing', 'keyboard_typing']"
