id,question,audio_path,optionA,optionB,optionC,optionD,correct
0,Which sound event occurs after rooster sound?,audios/0.wav,"Door, wood creaks",Mouse click,airplane,Fireworks,C
1,Which sound event occurs first?,audios/1.wav,"Drinking, sipping",Keyboard typing,Rooster,airplane,D
2,Which sound event occurs second?,audios/2.wav,Laughing,Brushing teeth,Crow,keyboard_typing,D
3,Which sound event occurs first?,audios/3.wav,Clapping,Sea waves,crackling_fire,"Door, wood creaks",C
4,Which sound event occurs second?,audios/4.wav,dog,Chainsaw,Toilet flush,Crying baby,A
5,Which sound event occurs second?,audios/5.wav,sneezing,Can opening,Cow,Glass breaking,A
6,Which sound event occurs second?,audios/6.wav,Clock alarm,clapping,Cow,Crickets,B
7,Which sound event occurs first?,audios/7.wav,"Drinking, sipping",insects,"Door, wood creaks",Breathing,B
8,Which sound event occurs second?,audios/8.wav,frog,Chainsaw,Vacuum cleaner,Siren,A
9,Which sound event occurs third?,audios/9.wav,Keyboard typing,hen,Clapping,Church bells,B
10,Which sound event occurs fourth?,audios/10.wav,Chirping birds,crickets,Pig,Snoring,B
11,Which sound event occurs third?,audios/11.wav,Airplane,Church bells,Crying baby,rain,D
12,Which sound event occurs first?,audios/12.wav,crying_baby,Snoring,Church bells,Frog,A
13,Which sound event occurs after crickets sound?,audios/13.wav,Insects (flying),vacuum_cleaner,Footsteps,Glass breaking,B
14,Which sound event occurs after mouse_click sound?,audios/14.wav,footsteps,Train,Insects (flying),Glass breaking,A
15,Which sound event occurs after washing_machine sound?,audios/15.wav,Coughing,Pig,Chirping birds,can_opening,D
16,Which sound event occurs after chirping_birds sound?,audios/16.wav,Water drops,Mouse click,sheep,Clock alarm,C
17,Which sound event occurs after crow sound?,audios/17.wav,Sneezing,Crickets,helicopter,Keyboard typing,C
18,Which sound event occurs third?,audios/18.wav,Brushing teeth,Washing machine,Helicopter,clock_tick,D
19,Which sound event occurs after insects sound?,audios/19.wav,Mouse click,Cow,car_horn,Crying baby,C
20,Which sound event occurs second?,audios/20.wav,drinking_sipping,"Drinking, sipping",Can opening,Rain,A
21,Which sound event occurs fourth?,audios/21.wav,Wind,Chirping birds,Thunderstorm,keyboard_typing,D
22,Which sound event occurs second?,audios/22.wav,Thunderstorm,Sneezing,Toilet flush,hand_saw,D
23,Which sound event occurs third?,audios/23.wav,Can opening,Crickets,rooster,Hand saw,C
24,Which sound event occurs after vacuum_cleaner sound?,audios/24.wav,Train,Airplane,Car horn,cat,D
25,Which sound event occurs first?,audios/25.wav,Helicopter,Breathing,Can opening,fireworks,D
26,Which sound event occurs first?,audios/26.wav,Snoring,Clapping,door_wood_knock,"Drinking, sipping",C
27,Which sound event occurs second?,audios/27.wav,Pig,Can opening,Coughing,church_bells,D
28,Which sound event occurs fourth?,audios/28.wav,Clock tick,Sheep,"Drinking, sipping",chirping_birds,D
29,Which sound event occurs after clock_alarm sound?,audios/29.wav,dog,Insects (flying),Brushing teeth,Breathing,A
30,Which sound event occurs third?,audios/30.wav,water_drops,Crying baby,Cow,Mouse click,A
31,Which sound event occurs after church_bells sound?,audios/31.wav,vacuum_cleaner,Wind,Thunderstorm,Helicopter,A
32,Which sound event occurs after hen sound?,audios/32.wav,Clock alarm,Hand saw,Chainsaw,siren,D
33,Which sound event occurs first?,audios/33.wav,Thunderstorm,laughing,Breathing,Footsteps,B
34,Which sound event occurs first?,audios/34.wav,church_bells,Mouse click,Hand saw,Chirping birds,A
35,Which sound event occurs first?,audios/35.wav,snoring,Train,Dog,Pig,A
36,Which sound event occurs after hen sound?,audios/36.wav,Hen,Sneezing,Rooster,cow,D
37,Which sound event occurs second?,audios/37.wav,Engine,Clock alarm,laughing,Breathing,C
38,Which sound event occurs second?,audios/38.wav,Helicopter,cow,Dog,Laughing,B
39,Which sound event occurs first?,audios/39.wav,Mouse click,coughing,Can opening,Engine,B
40,Which sound event occurs first?,audios/40.wav,engine,Can opening,Sea waves,Toilet flush,A
41,Which sound event occurs first?,audios/41.wav,Siren,Hen,Helicopter,crickets,D
42,Which sound event occurs after cow sound?,audios/42.wav,Car horn,Glass breaking,clock_alarm,Can opening,C
43,Which sound event occurs second?,audios/43.wav,Church bells,Coughing,cow,Engine,C
44,Which sound event occurs second?,audios/44.wav,Engine,footsteps,Footsteps,Sneezing,B
45,Which sound event occurs first?,audios/45.wav,Sneezing,cat,Footsteps,Crying baby,B
46,Which sound event occurs second?,audios/46.wav,Cat,Can opening,train,Vacuum cleaner,C
47,Which sound event occurs after footsteps sound?,audios/47.wav,Footsteps,Door knock,sheep,Brushing teeth,C
48,Which sound event occurs second?,audios/48.wav,Insects (flying),drinking_sipping,Train,Dog,B
49,Which sound event occurs first?,audios/49.wav,frog,"Drinking, sipping",Coughing,Glass breaking,A
50,Which sound event occurs second?,audios/50.wav,Rooster,clapping,Dog,Crickets,B
51,Which sound event occurs second?,audios/51.wav,Laughing,Sheep,Glass breaking,can_opening,D
52,Which sound event occurs second?,audios/52.wav,Cow,Hen,dog,Thunderstorm,C
53,Which sound event occurs second?,audios/53.wav,Toilet flush,airplane,Insects (flying),Door knock,B
54,Which sound event occurs second?,audios/54.wav,Rooster,Chainsaw,Keyboard typing,clock_tick,D
55,Which sound event occurs third?,audios/55.wav,Crying baby,cow,Crow,Toilet flush,B
56,Which sound event occurs first?,audios/56.wav,hand_saw,Wind,Door knock,Insects (flying),A
57,Which sound event occurs first?,audios/57.wav,Toilet flush,Sheep,Footsteps,train,D
58,Which sound event occurs second?,audios/58.wav,Helicopter,Toilet flush,Fireworks,clock_alarm,D
59,Which sound event occurs after sheep sound?,audios/59.wav,Sheep,"Drinking, sipping",Siren,pig,D
60,Which sound event occurs after car_horn sound?,audios/60.wav,Cat,Train,water_drops,Pig,C
61,Which sound event occurs first?,audios/61.wav,laughing,Rain,Airplane,Can opening,A
62,Which sound event occurs after sea_waves sound?,audios/62.wav,airplane,Clock tick,Crickets,Cow,A
63,Which sound event occurs second?,audios/63.wav,Crackling fire,Dog,Mouse click,water_drops,D
64,Which sound event occurs first?,audios/64.wav,Engine,crackling_fire,Chainsaw,Car horn,B
65,Which sound event occurs first?,audios/65.wav,chirping_birds,Vacuum cleaner,Cat,Coughing,A
66,Which sound event occurs second?,audios/66.wav,Cat,Crow,Clock tick,frog,D
67,Which sound event occurs after can_opening sound?,audios/67.wav,sneezing,Siren,"Drinking, sipping",Clock alarm,A
68,Which sound event occurs second?,audios/68.wav,"Drinking, sipping",Glass breaking,Train,wind,D
69,Which sound event occurs third?,audios/69.wav,Laughing,"Door, wood creaks",Car horn,church_bells,D
70,Which sound event occurs after vacuum_cleaner sound?,audios/70.wav,crackling_fire,Helicopter,Hen,Fireworks,A
71,Which sound event occurs second?,audios/71.wav,Chirping birds,"Door, wood creaks",Sea waves,car_horn,D
72,Which sound event occurs second?,audios/72.wav,Brushing teeth,glass_breaking,Fireworks,Pouring water,B
73,Which sound event occurs first?,audios/73.wav,Snoring,Pouring water,laughing,Crackling fire,C
74,Which sound event occurs after coughing sound?,audios/74.wav,Crickets,Clapping,car_horn,Clock tick,C
75,Which sound event occurs second?,audios/75.wav,Coughing,Crickets,Glass breaking,washing_machine,D
76,Which sound event occurs first?,audios/76.wav,Water drops,clock_alarm,Hand saw,Sheep,B
77,Which sound event occurs second?,audios/77.wav,Breathing,crickets,Church bells,Laughing,B
78,Which sound event occurs after siren sound?,audios/78.wav,helicopter,Can opening,"Door, wood creaks",Fireworks,A
79,Which sound event occurs first?,audios/79.wav,Church bells,Toilet flush,car_horn,Crickets,C
80,Which sound event occurs first?,audios/80.wav,Car horn,"Door, wood creaks",Crow,rooster,D
81,Which sound event occurs fourth?,audios/81.wav,Chainsaw,Fireworks,Crying baby,laughing,D
82,Which sound event occurs third?,audios/82.wav,Insects (flying),"Door, wood creaks",chainsaw,Footsteps,C
83,Which sound event occurs second?,audios/83.wav,Crying baby,"Door, wood creaks",Helicopter,engine,D
84,Which sound event occurs second?,audios/84.wav,Washing machine,water_drops,Pig,Frog,B
85,Which sound event occurs first?,audios/85.wav,Mouse click,Hand saw,drinking_sipping,Clock alarm,C
86,Which sound event occurs fourth?,audios/86.wav,Snoring,glass_breaking,Airplane,Chirping birds,B
87,Which sound event occurs second?,audios/87.wav,Hen,Car horn,Crying baby,door_wood_knock,D
88,Which sound event occurs second?,audios/88.wav,pouring_water,Siren,Crying baby,Clock alarm,A
89,Which sound event occurs after snoring sound?,audios/89.wav,frog,Thunderstorm,Breathing,Siren,A
90,Which sound event occurs third?,audios/90.wav,sheep,Siren,Door knock,Chainsaw,A
91,Which sound event occurs second?,audios/91.wav,Thunderstorm,Fireworks,train,Church bells,C
92,Which sound event occurs first?,audios/92.wav,Cat,Wind,Crackling fire,laughing,D
93,Which sound event occurs fourth?,audios/93.wav,coughing,Snoring,Church bells,Laughing,A
94,Which sound event occurs second?,audios/94.wav,Laughing,Crow,Rain,can_opening,D
95,Which sound event occurs third?,audios/95.wav,Chainsaw,brushing_teeth,Thunderstorm,Insects (flying),B
